#,Company,Location_HQ,Country,Continent,Laid_Off,Date_layoffs,Percentage,Company_Size_before_Layoffs,Company_Size_after_layoffs,Industry,Stage,Money_Raised_in_$_mil,Year,lat,lng,Symbol,Date_datetime
2789,SoFi,San Francisco Bay Area,USA,North America,112.0,2020-05-20,7.0,1600.0,1488.0,Finance,Private Equity …,$2.500,2020,37.77493,-122.41942,SOFI,2020-05-20
2787,Samsara,San Francisco Bay Area,USA,North America,300.0,2020-05-20,18.0,1667.0,1367.0,Logistics,Series F,$530,2020,37.77493,-122.41942,IOT,2020-05-20
2777,Uber,Bengaluru,India,Asia,600.0,2020-05-26,23.0,2609.0,2009.0,Transportation,Post-IPO,$24700,2020,12.97194,77.59369,UBER,2020-05-26
2771,TrueCar,Los Angeles,USA,North America,219.0,2020-05-28,30.0,730.0,511.0,Transportation,Post-IPO,$340,2020,34.05223,-118.24368,TRUE,2020-05-28
2765,Stitch Fix,San Francisco Bay Area,USA,North America,1400.0,2020-06-01,18.0,7778.0,6378.0,Retail,Post-IPO,$79,2020,37.77493,-122.41942,SFIX,2020-06-01
2766,MakeMyTrip,Gurugram,India,Asia,350.0,2020-06-01,10.0,3500.0,3150.0,Travel,Post-IPO,$548,2020,28.4601,77.02635,MMYT,2020-06-01
2761,Rivian,Detroit,USA,North America,40.0,2020-06-02,2.0,2000.0,1960.0,Transportation,Private Equity …,$3100,2020,42.33143,-83.04575,RIVN,2020-06-02
2754,Builder,Los Angeles,USA,North America,39.0,2020-06-04,14.0,279.0,240.0,Product,Series A,$29,2020,34.05223,-118.24368,BLDR,2020-06-04
2748,Branch,New York City,USA,North America,3.0,2020-06-11,27.0,11.0,8.0,Finance,Seed,$2,2020,40.71427,-74.00597,BOF,2020-06-11
2745,Uber,Amsterdam,Netherlands,Europe,225.0,2020-06-12,25.0,900.0,675.0,Transportation,Post-IPO,,2020,52.37403,4.88969,UBER,2020-06-12
2740,Grab,Singapore,Singapore,Asia,360.0,2020-06-16,5.0,7200.0,6840.0,Transportation,Series I,,2020,1.28967,103.85007,GRAB,2020-06-16
2735,Intuit,San Francisco Bay Area,USA,North America,715.0,2020-06-22,7.0,10214.0,9499.0,Finance,Post-IPO,$18,2020,37.38605,-122.08385,INTU,2020-06-22
2730,Sonos,New York City,USA,North America,174.0,2020-06-24,12.0,1450.0,1276.0,Consumer,Post-IPO,$455,2020,40.71427,-74.00597,SONO,2020-06-24
2696,Procore,Los Angeles,USA,North America,180.0,2020-07-28,9.0,2000.0,1820.0,Construction,Unknown,$649,2020,34.05223,-118.24368,PCOR,2020-07-28
